group,exp_id,story,train_mode,world_size,pipe_stages,K,steps,lr,step_size,weight_mode,last2_beta,fid_inception,fid_feature,unique_ratio,distinct_images,diversity_trace,max_f_neg_last_1k_mean,max_abs_chain_last_1k_mean,fneg_stage2_over_stage3_last_1k_mean,walltime,run_dir,eval_dir,status,train_job_id,eval_job_id
A3,A3_pipe_last2b001_p4_k200_s20k,Q3 sampling_fidelity factor,pipe_strict,4,4,200,20000,1e-4,1.0,last2_beta,0.01,370.40471467134194,5.399027694434685,1.0,5000,1.5552320815626075,nan,nan,0.29582176022513607,1281,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k200_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k200_s20k_20260329_152523/eval,done,6980054.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,6980055.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov
A3,A3_ddp_fullk_k400_s20k,Q3 sampling_fidelity factor,ddp_fullk,4,0,400,20000,1e-4,1.0,uniform,0.01,433.11443028098233,7.02514514323927,1.0,5000,1.1596697288407345,nan,nan,nan,6681.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k400_s20k_20260329_152523,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k400_s20k_20260329_152523/eval,done,6980056.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
A3,A3_pipe_last2b001_p4_k400_s20k,Q3 sampling_fidelity factor,pipe_strict,4,4,400,20000,1e-4,1.0,last2_beta,0.01,421.7380101504298,7.141641711527842,1.0,5000,1.125425285150636,nan,nan,0.33952896218058676,2083.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k400_s20k_20260329_160221,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k400_s20k_20260329_160221/eval,done,6980077.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
A4,A4_ddp_fullk_eps001_k100_s20k,Q4 step_size factor,ddp_fullk,4,0,100,20000,1e-4,0.01,uniform,0.01,118.94154233466753,0.9476890918796208,1.0,5000,10.995578893623648,nan,nan,nan,2075.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps001_k100_s20k_20260329_161307,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps001_k100_s20k_20260329_161307/eval,done,6980091.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
A4,A4_pipe_last2b001_p4_eps001_k100_s20k,Q4 step_size factor,pipe_strict,4,4,100,20000,1e-4,0.01,last2_beta,0.01,125.18450185387076,1.6000597734025526,1.0,5000,10.949736491931137,nan,nan,0.2591101962002431,913.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps001_k100_s20k_20260329_161307,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps001_k100_s20k_20260329_161307/eval,done,6980093.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
A4,A4_ddp_fullk_eps002_k100_s20k,Q4 step_size factor,ddp_fullk,4,0,100,20000,1e-4,0.02,uniform,0.01,111.6598067768017,0.5848273650704954,1.0,5000,11.529192739522145,nan,nan,nan,2076.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps002_k100_s20k_20260329_161307,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps002_k100_s20k_20260329_161307/eval,done,6980095.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
A4,A4_pipe_last2b001_p4_eps002_k100_s20k,Q4 step_size factor,pipe_strict,4,4,100,20000,1e-4,0.02,last2_beta,0.01,115.64524760115205,5.01774569038114,1.0,5000,8.328764442570053,nan,nan,0.2728741575882638,915.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps002_k100_s20k_20260329_161307,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps002_k100_s20k_20260329_161307/eval,done,6980097.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
A4,A4_ddp_fullk_eps005_k100_s20k,Q4 step_size factor,ddp_fullk,4,0,100,20000,1e-4,0.05,uniform,0.01,113.46322581404473,0.48808826142080264,1.0,5000,10.123458612789307,nan,nan,nan,2074.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps005_k100_s20k_20260330_031604,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps005_k100_s20k_20260330_031604/eval,done,6980655.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
A4,A4_pipe_last2b001_p4_eps005_k100_s20k,Q4 step_size factor,pipe_strict,4,4,100,20000,1e-4,0.05,last2_beta,0.01,115.5575964363282,3.418073702498422,1.0,5000,7.095995104289511,nan,nan,0.25124486484347175,906.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps005_k100_s20k_20260329_162236,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps005_k100_s20k_20260329_162236/eval,done,6980102.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
A4,A4_ddp_fullk_eps010_k100_s20k,Q4 step_size factor,ddp_fullk,4,0,100,20000,1e-4,0.1,uniform,0.01,114.95728215253928,0.4964595328865187,1.0,5000,9.797340260535572,nan,nan,nan,2067.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps010_k100_s20k_20260329_162236,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps010_k100_s20k_20260329_162236/eval,done,6980104.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
A4,A4_pipe_last2b001_p4_eps010_k100_s20k,Q4 step_size factor,pipe_strict,4,4,100,20000,1e-4,0.1,last2_beta,0.01,112.57379692792603,1.7057136027502544,1.0,5000,9.512620873664314,nan,nan,0.24776674991972047,907.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps010_k100_s20k_20260329_164242,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps010_k100_s20k_20260329_164242/eval,done,6980109.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
A4,A4_ddp_fullk_eps020_k100_s20k,Q4 step_size factor,ddp_fullk,4,0,100,20000,1e-4,0.2,uniform,0.01,117.38009212032432,0.4185148461767092,1.0,5000,8.949328297669854,nan,nan,nan,2073.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps020_k100_s20k_20260329_164242,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_ddp_fullk_eps020_k100_s20k_20260329_164242/eval,done,6980110.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
A4,A4_pipe_last2b001_p4_eps020_k100_s20k,Q4 step_size factor,pipe_strict,4,4,100,20000,1e-4,0.2,last2_beta,0.01,149.0415877760268,2.812871962092199,1.0,5000,9.348784687739183,nan,nan,0.2811006746022863,911.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps020_k100_s20k_20260329_164242,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A4/A4_pipe_last2b001_p4_eps020_k100_s20k_20260329_164242/eval,done,6980111.polaris-pbs-01.hsn.cm.polaris.alcf.anl.gov,
