ledger,phase_group,family_id,logical_run_id,benchmark,regime,stage_count,weighting,K,horizon_steps,seed,paper_role,canonical_run_dir,step,checkpoint_step,fid_inception,fid_feature,unique_ratio,metrics_path,train_walltime_seconds,train_walltime_hours,gpu_count,train_gpu_hours,wallclock_seconds_at_step,wallclock_hours_at_step,gpu_hours_at_step,walltime_source
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,220000,219999,408.09624246745494,9.90380693501698,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/trajectory/step220000/metrics_compare.json,32788,9.107778,1,9.107778,24044.533333,6.679037,6.679037,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,225000,224999,407.8659344218531,9.91286478616439,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/trajectory/step225000/metrics_compare.json,32788,9.107778,1,9.107778,24591.000000,6.830833,6.830833,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,230000,229999,407.5822042111268,9.91133398460283,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/trajectory/step230000/metrics_compare.json,32788,9.107778,1,9.107778,25137.466667,6.982630,6.982630,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,235000,234999,408.1371402769606,9.915914571107237,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/trajectory/step235000/metrics_compare.json,32788,9.107778,1,9.107778,25683.933333,7.134426,7.134426,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,240000,239999,408.0493925245853,9.914614893821575,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/trajectory/step240000/metrics_compare.json,32788,9.107778,1,9.107778,26230.400000,7.286222,7.286222,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,245000,244999,407.38612939192103,9.911058986681198,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/trajectory/step245000/metrics_compare.json,32788,9.107778,1,9.107778,26776.866667,7.438019,7.438019,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,250000,249999,408.02501265854846,9.913596759521724,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/trajectory/step250000/metrics_compare.json,32788,9.107778,1,9.107778,27323.333333,7.589815,7.589815,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,255000,254999,407.7365247643245,9.90600001795061,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/trajectory/step255000/metrics_compare.json,32788,9.107778,1,9.107778,27869.800000,7.741611,7.741611,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,260000,259999,407.41577910798355,9.905152835369412,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/trajectory/step260000/metrics_compare.json,32788,9.107778,1,9.107778,28416.266667,7.893407,7.893407,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper,O1,single_P8_equal,current_cifar_paper:cifar10:single_P8_equal:seed1:h300000,cifar10,single_emulation,8,equal,100,300000,1,appendix,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303,265000,264999,407.28813982450924,9.907768996494031,,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P8_uniform_K100_seed1_300k_resume_20260421_223303/trajectory/step265000/metrics_compare.json,32788,9.107778,1,9.107778,28962.733333,8.045204,8.045204,linear_interpolation_from_job_info_successful_attempt_total
