group,exp_id,story,train_mode,seed,steps,expected_points,available_points,status,final_step,final_fid,fid_feature,unique_ratio,best_step,best_fid,final_minus_best,trajectory_dir,run_dir
A3,A3_ddp_fullk_k100_s20k,Q3 sampling_fidelity factor,ddp_fullk,1,20000,4,4,done,20000,118.99333317002953,0.5299142351643802,,15000,107.50263987288525,11.490693297144276,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_ddp_fullk_k100_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k100_s20k_20260329_152523
A3,A3_ddp_fullk_k150_s20k,Q3 sampling_fidelity factor,ddp_fullk,1,20000,4,4,done,20000,334.9922244874851,3.229188991843184,,20000,334.9922244874851,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_ddp_fullk_k150_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k150_s20k_20260329_152523
A3,A3_ddp_fullk_k200_s20k,Q3 sampling_fidelity factor,ddp_fullk,1,20000,4,4,done,20000,371.29374273157305,5.11723069887249,,20000,371.29374273157305,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_ddp_fullk_k200_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k200_s20k_20260329_152523
A3,A3_ddp_fullk_k30_s20k,Q3 sampling_fidelity factor,ddp_fullk,1,20000,4,4,done,20000,372.80360871652675,16.66661143269366,,10000,367.3045692887467,5.499039427780076,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_ddp_fullk_k30_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k30_s20k_20260329_145447
A3,A3_ddp_fullk_k400_s20k,Q3 sampling_fidelity factor,ddp_fullk,1,20000,4,4,done,20000,433.11806368672995,7.025137530037195,,20000,433.11806368672995,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_ddp_fullk_k400_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k400_s20k_20260329_152523
A3,A3_ddp_fullk_k60_s20k,Q3 sampling_fidelity factor,ddp_fullk,1,20000,4,4,done,20000,143.88344284223524,8.907107445060092,,20000,143.88344284223524,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_ddp_fullk_k60_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_ddp_fullk_k60_s20k_20260329_145447
A3,A3_pipe_last2b001_p4_k100_s20k,Q3 sampling_fidelity factor,pipe_strict,1,20000,4,4,done,20000,123.06138065779646,1.4899416275692552,,10000,117.23094436486213,5.830436292934337,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_pipe_last2b001_p4_k100_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k100_s20k_20260329_152523
A3,A3_pipe_last2b001_p4_k150_s20k,Q3 sampling_fidelity factor,pipe_strict,1,20000,4,4,done,20000,327.7624873134597,4.245321799239775,,5000,318.9980932115568,8.764394101902894,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_pipe_last2b001_p4_k150_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k150_s20k_20260329_152523
A3,A3_pipe_last2b001_p4_k200_s20k,Q3 sampling_fidelity factor,pipe_strict,1,20000,4,4,done,20000,370.39810780989376,5.3990478464005776,,20000,370.39810780989376,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_pipe_last2b001_p4_k200_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k200_s20k_20260329_152523
A3,A3_pipe_last2b001_p4_k30_s20k,Q3 sampling_fidelity factor,pipe_strict,1,20000,4,4,done,20000,167.28653416269864,13.755454980175564,,20000,167.28653416269864,0.0,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation_replay/trajectories/A3_pipe_last2b001_p4_k30_s20k,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_ablation/A3/A3_pipe_last2b001_p4_k30_s20k_20260329_145447
