ledger,phase_group,family_id,logical_run_id,benchmark,regime,stage_count,weighting,K,horizon_steps,seed,paper_role,points_count,fid_points_count,final_step,final_fid_inception,best_step,best_fid_inception,train_walltime_seconds,train_walltime_hours,train_walltime_days,gpu_count,train_gpu_hours,walltime_source,canonical_run_dir
current_cifar_paper,O5,pipe_P4_deepest_K100,current_cifar_paper:cifar10:pipe_P4_deepest_K100:seed1:h300000,cifar10,strict_pipeline,4,deepest,100,300000,1,control,60,60,300000,71.2458430174,295000,63.4863999892,10702,2.972778,0.123866,4,11.891111,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O5/O5_pipe_strict_P4_deep_K100_seed1_300k_resume_20260421_223303
current_cifar_paper,O2,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed1:h300000,cifar10,strict_pipeline,4,equal,100,300000,1,control,60,60,300000,58.6549496887,240000,51.6600966002,12785,3.551389,0.147975,4,14.205556,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P4_uniform_K100_seed1_300k_20260406_214845
current_cifar_paper,O4,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed1:h500000,cifar10,strict_pipeline,4,equal,100,500000,1,headline,100,100,500000,70.9795354227,195000,48.2270928078,21514,5.976111,0.249005,4,23.904444,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_pipe_strict_P4_uniform_K100_seed1_500k_20260409_132633
current_cifar_paper,O3,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed2:h300000,cifar10,strict_pipeline,4,equal,100,300000,2,headline,60,60,300000,65.7695876905,235000,52.9263413347,13007,3.613056,0.150544,4,14.452222,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P4_uniform_K100_seed2_300k_20260407_172101
current_cifar_paper,O4,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed2:h500000,cifar10,strict_pipeline,4,equal,100,500000,2,headline,100,100,500000,57.01796726,240000,46.9888878623,21493,5.970278,0.248762,4,23.881111,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_pipe_strict_P4_uniform_K100_seed2_500k_retry_20260415_152638
current_cifar_paper,O3,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed3:h300000,cifar10,strict_pipeline,4,equal,100,300000,3,headline,60,60,300000,75.1603662617,235000,52.852785398,12981,3.605833,0.150243,4,14.423333,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P4_uniform_K100_seed3_300k_20260407_172101
current_cifar_paper,O4,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed3:h500000,cifar10,strict_pipeline,4,equal,100,500000,3,headline,100,100,500000,54.909787273,450000,49.9175679813,21581,5.994722,0.249780,4,23.978889,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_pipe_strict_P4_uniform_K100_seed3_500k_20260412_143208
current_cifar_paper,O3,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed4:h300000,cifar10,strict_pipeline,4,equal,100,300000,4,headline,60,60,300000,87.1479733922,165000,55.8100736867,8913,2.475833,0.103160,4,9.903333,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P4_uniform_K100_seed4_300k_resume_20260412_143159
current_cifar_paper,O4,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed4:h500000,cifar10,pipeline,4,equal,100,500000,4,headline,100,100,500000,56.5077068323,455000,51.8285708428,21283,5.911944,0.246331,4,23.647778,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_supplement/O4/O4_pipe_strict_P4_uniform_K100_seed4_500k_20260430_043839
current_cifar_paper,O3,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed5:h300000,cifar10,strict_pipeline,4,equal,100,300000,5,headline,60,60,300000,59.2122633702,145000,49.9348931142,13061,3.628056,0.151169,4,14.512222,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_pipe_strict_P4_uniform_K100_seed5_300k_20260409_132633
current_cifar_paper,O4,pipe_P4_equal,current_cifar_paper:cifar10:pipe_P4_equal:seed5:h500000,cifar10,pipeline,4,equal,100,500000,5,headline,100,100,500000,55.94285454,440000,48.3886509344,21497,5.971389,0.248808,4,23.885556,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_supplement/O4/O4_pipe_strict_P4_uniform_K100_seed5_500k_20260430_043839
current_cifar_paper,O5,pipe_P4_equal_K100,current_cifar_paper:cifar10:pipe_P4_equal_K100:seed1:h300000,cifar10,strict_pipeline,4,equal,100,300000,1,control,60,60,300000,59.3906342379,155000,48.9212577302,12966,3.601667,0.150069,4,14.406667,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O5/O5_pipe_strict_P4_uniform_K100_seed1_300k_20260416_184021
current_cifar_paper,O5,pipe_P4_equal_K100,current_cifar_paper:cifar10:pipe_P4_equal_K100:seed2:h300000,cifar10,pipeline,4,equal,100,300000,2,control,60,60,300000,75.2449961619,240000,48.9358528149,12793,3.553611,0.148067,4,14.214444,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_supplement/O5/O5_pipe_strict_P4_uniform_K100_seed2_300k_20260430_043839
current_cifar_paper,O2,pipe_P8_deepest,current_cifar_paper:cifar10:pipe_P8_deepest:seed1:h300000,cifar10,strict_pipeline,8,deepest,100,300000,1,appendix,60,60,300000,114.118009288,295000,68.5937589675,70875,19.687500,0.820312,8,157.500000,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O2/O2_pipe_strict_P8_deep_K100_seed1_300k_20260415_152655
