phase_group,paper_role,regime,family_id,stage_count,weighting,K,horizon_steps,seed,gpu_count,train_walltime_hours,train_gpu_hours,final_step,final_fid_inception,best_step,best_fid_inception,logical_run_id
O3,headline,single_strict,single_P1_terminal,1,terminal,100,300000,3,1,5.434722,5.434722,300000,63.2851317157,95000,56.3908300404,current_cifar_paper:cifar10:single_P1_terminal:seed3:h300000
O3,control,strict_pipeline,pipe_P2_equal,2,equal,100,300000,2,2,4.885833,9.771667,300000,70.9062561907,70000,56.0093820726,current_cifar_paper:cifar10:pipe_P2_equal:seed2:h300000
O3,control,strict_pipeline,pipe_P2_equal,2,equal,100,300000,3,2,4.888889,9.777778,300000,68.3341019891,280000,53.4138214328,current_cifar_paper:cifar10:pipe_P2_equal:seed3:h300000
O3,headline,strict_pipeline,pipe_P4_equal,4,equal,100,300000,2,4,3.613056,14.452222,300000,65.7695876905,235000,52.9263413347,current_cifar_paper:cifar10:pipe_P4_equal:seed2:h300000
O3,headline,strict_pipeline,pipe_P4_equal,4,equal,100,300000,3,4,3.605833,14.423333,300000,75.1603662617,235000,52.852785398,current_cifar_paper:cifar10:pipe_P4_equal:seed3:h300000
O3,headline,strict_pipeline,pipe_P4_equal,4,equal,100,300000,4,4,2.475833,9.903333,300000,87.1479733922,165000,55.8100736867,current_cifar_paper:cifar10:pipe_P4_equal:seed4:h300000
O3,headline,strict_pipeline,pipe_P4_equal,4,equal,100,300000,5,4,3.628056,14.512222,300000,59.2122633702,145000,49.9348931142,current_cifar_paper:cifar10:pipe_P4_equal:seed5:h300000
O5,control,ddp_strict,ddp_P1_terminal_K100,1,terminal,100,300000,1,4,8.403889,33.615556,300000,67.5877722892,280000,53.4704567942,current_cifar_paper:cifar10:ddp_P1_terminal_K100:seed1:h300000
O5,control,ddp_strict,ddp_P1_terminal_K25,1,terminal,25,300000,1,4,3.550278,14.201111,300000,369.390300606,5000,355.022580679,current_cifar_paper:cifar10:ddp_P1_terminal_K25:seed1:h300000
O5,control,ddp_strict,ddp_P1_terminal_K50,1,terminal,50,300000,1,4,5.181667,20.726667,300000,135.061242421,285000,125.963933964,current_cifar_paper:cifar10:ddp_P1_terminal_K50:seed1:h300000
O5,control,pipeline,pipe_P4_equal_K100,4,equal,100,300000,2,4,3.553611,14.214444,300000,75.2449961619,240000,48.9358528149,current_cifar_paper:cifar10:pipe_P4_equal_K100:seed2:h300000
O5,control,strict_pipeline,pipe_P4_deepest_K100,4,deepest,100,300000,1,4,2.972778,11.891111,300000,71.2458430174,295000,63.4863999892,current_cifar_paper:cifar10:pipe_P4_deepest_K100:seed1:h300000
O5,control,strict_pipeline,pipe_P4_equal_K100,4,equal,100,300000,1,4,3.601667,14.406667,300000,59.3906342379,155000,48.9212577302,current_cifar_paper:cifar10:pipe_P4_equal_K100:seed1:h300000
O4,headline,ddp_strict,ddp_P1_terminal,1,terminal,100,500000,1,4,13.895556,55.582222,500000,65.7408930387,280000,54.2016348855,current_cifar_paper:cifar10:ddp_P1_terminal:seed1:h500000
O4,headline,ddp_strict,ddp_P1_terminal,1,terminal,100,500000,2,4,13.938056,55.752222,500000,58.114263119,370000,54.9688224456,current_cifar_paper:cifar10:ddp_P1_terminal:seed2:h500000
O4,headline,ddp_strict,ddp_P1_terminal,1,terminal,100,500000,3,4,11.665000,46.660000,500000,64.2574121701,315000,52.9531881353,current_cifar_paper:cifar10:ddp_P1_terminal:seed3:h500000
O4,headline,pipeline,pipe_P4_equal,4,equal,100,500000,4,4,5.911944,23.647778,500000,56.5077068323,455000,51.8285708428,current_cifar_paper:cifar10:pipe_P4_equal:seed4:h500000
O4,headline,pipeline,pipe_P4_equal,4,equal,100,500000,5,4,5.971389,23.885556,500000,55.94285454,440000,48.3886509344,current_cifar_paper:cifar10:pipe_P4_equal:seed5:h500000
O4,headline,single_emulation,single_P2_deepest,2,deepest,100,500000,1,1,14.080556,14.080556,500000,64.3579003847,425000,54.5736176398,current_cifar_paper:cifar10:single_P2_deepest:seed1:h500000
O4,headline,single_emulation,single_P2_deepest,2,deepest,100,500000,2,1,13.580556,13.580556,500000,76.3035429301,495000,55.5207158835,current_cifar_paper:cifar10:single_P2_deepest:seed2:h500000
O4,headline,single_emulation,single_P2_deepest,2,deepest,100,500000,3,1,14.073056,14.073056,500000,62.7761360286,370000,56.4437146149,current_cifar_paper:cifar10:single_P2_deepest:seed3:h500000
O4,headline,single_emulation,single_P2_equal,2,equal,100,500000,1,1,14.176944,14.176944,500000,60.6540713758,115000,52.3846535322,current_cifar_paper:cifar10:single_P2_equal:seed1:h500000
